industry,Stage_Name,Number_of_Company
Agriculture,pilot,7076
Agriculture,full,129
Agriculture,none,636
Agriculture,partial,7729
Consulting,none,549
Consulting,partial,6018
Consulting,pilot,5859
Consulting,full,78
Education,pilot,6906
Education,none,604
Education,partial,7536
Education,full,126
Finance,full,323
Finance,none,529
Finance,partial,11615
Finance,pilot,7699
Healthcare,pilot,8838
Healthcare,none,756
Healthcare,full,114
Healthcare,partial,8934
Logistics,pilot,5969
Logistics,none,473
Logistics,full,107
Logistics,partial,6412
Manufacturing,partial,8480
Manufacturing,pilot,8200
Manufacturing,none,713
Manufacturing,full,108
Retail,partial,7940
Retail,pilot,7625
Retail,none,693
Retail,full,119
Technology,partial,14136
Technology,pilot,6145
Technology,full,581
Technology,none,245
