Title,Average_Burnout_Score,Average_Productivity_Score,Statu
"Software Engineer",51.27,56.80,Balanced
"Data Analyst",50.93,57.46,Balanced
"DevOps Engineer",50.93,56.90,Balanced
"Backend Engineer",50.92,56.16,Balanced
"ML Engineer",50.70,59.18,Balanced
"Data Scientist",50.55,59.76,Balanced
"Cloud Architect",50.38,58.58,Balanced
"AI Ethics Officer",49.71,57.33,Balanced
"Frontend Engineer",49.31,56.79,Balanced
"Product Manager",49.12,57.54,Balanced
"AI Researcher",48.75,57.30,Balanced
"Prompt Engineer",47.66,56.66,Balanced
