industry,Salary($K),Average_Burnout_Score,Fear_of_AI
Media,161.08,49.15,High
EdTech,154.14,45.23,High
EdTech,149.28,51.95,Low
Fintech,148.90,48.84,Low
Media,148.71,51.42,Low
E-commerce,147.34,51.74,Low
Gaming,147.12,46.40,High
Cybersecurity,145.88,48.30,Low
Healthtech,145.33,51.64,Low
Cybersecurity,144.89,54.31,High
Automotive,143.58,49.45,Low
Gaming,143.53,50.53,Low
SaaS,143.50,51.60,Low
E-commerce,142.74,49.98,Medium
Healthtech,139.58,48.61,Medium
Consulting,139.10,48.48,Low
E-commerce,137.90,49.90,High
Consulting,137.69,51.12,Medium
Fintech,137.45,50.63,Medium
Healthtech,136.95,50.76,High
Gaming,136.52,53.23,Medium
Automotive,136.03,48.69,Medium
Automotive,135.59,47.59,High
EdTech,135.32,51.74,Medium
SaaS,135.17,50.40,Medium
Cybersecurity,132.77,47.92,Medium
Media,131.75,49.05,Medium
Consulting,128.71,50.47,High
Fintech,126.04,49.88,High
SaaS,123.81,52.85,High
