Country,AVG_Govt_AI_Policy_Sc,Net_WF_Change
Japan,7.06,-0.02
"New Zealand",7.04,-0.02
"United Kingdom",7.04,-0.02
"United States",7.03,-0.02
Singapore,7.02,-0.03
"Czech Republic",7.02,-0.02
Italy,7.01,-0.02
Portugal,7.01,-0.02
Spain,7.01,-0.02
Denmark,7.01,-0.03
Austria,7,-0.02
Belgium,7,-0.02
Taiwan,7,-0.02
Germany,7,-0.02
Canada,7,-0.02
"South Korea",6.99,-0.02
Sweden,6.99,-0.03
Netherlands,6.99,-0.02
France,6.99,-0.02
Greece,6.98,-0.01
Qatar,6.98,-0.02
"Hong Kong",6.98,-0.03
Finland,6.98,-0.03
Kuwait,6.98,-0.02
Uruguay,6.97,-0.01
"Saudi Arabia",6.97,-0.02
Norway,6.97,-0.03
Israel,6.97,-0.02
Australia,6.96,-0.02
UAE,6.95,-0.02
Switzerland,6.94,-0.03
Thailand,5.36,-0.02
Argentina,5.34,-0.02
Kazakhstan,5.33,-0.02
Colombia,5.32,-0.02
Malaysia,5.31,-0.02
Russia,5.31,-0.02
Turkey,5.31,-0.02
"Costa Rica",5.3,-0.02
Chile,5.3,-0.02
Peru,5.3,-0.02
China,5.3,-0.02
Paraguay,5.29,-0.02
"South Africa",5.29,-0.02
Guatemala,5.29,-0.02
Iraq,5.28,-0.01
Panama,5.28,-0.02
Mexico,5.28,-0.02
Hungary,5.28,-0.02
Romania,5.27,-0.02
Ecuador,5.27,-0.02
Brazil,5.27,-0.02
Poland,5.26,-0.02
Vietnam,3.74,-0.02
Philippines,3.74,-0.02
Uzbekistan,3.74,-0.02
Indonesia,3.73,-0.02
Cameroon,3.73,-0.02
Egypt,3.72,-0.02
Myanmar,3.72,-0.02
Algeria,3.72,-0.02
Iran,3.71,-0.02
Tunisia,3.71,-0.02
Pakistan,3.7,-0.02
Kenya,3.7,-0.02
Cambodia,3.69,-0.02
Ghana,3.69,-0.02
"Sri Lanka",3.69,-0.02
Ukraine,3.69,-0.02
Bangladesh,3.69,-0.02
Zambia,3.68,-0.02
India,3.68,-0.02
Morocco,3.68,-0.02
"Ivory Coast",3.67,-0.02
Bolivia,3.67,-0.02
Senegal,3.66,-0.02
Nigeria,3.66,-0.02
Nepal,2.48,-0.02
Tanzania,2.48,-0.02
Ethiopia,2.48,-0.02
