Reskilling_Pr_Count,WF_Change,Sector_WF_Displaced
92,-0.026,0.135
91,-0.035,0.137
90,-0.035,0.148
89,-0.032,0.136
88,-0.029,0.124
87,-0.029,0.123
86,-0.035,0.146
85,-0.033,0.127
84,-0.036,0.126
83,-0.03,0.128
82,-0.034,0.142
81,-0.034,0.134
80,-0.029,0.124
79,-0.031,0.119
78,-0.029,0.118
77,-0.027,0.115
76,-0.034,0.122
75,-0.035,0.125
74,-0.032,0.122
73,-0.029,0.108
72,-0.027,0.105
71,-0.025,0.108
70,-0.026,0.107
69,-0.026,0.109
68,-0.027,0.11
67,-0.027,0.105
66,-0.025,0.099
65,-0.025,0.103
64,-0.026,0.104
63,-0.026,0.1
62,-0.024,0.1
61,-0.024,0.1
60,-0.023,0.09
59,-0.022,0.088
58,-0.023,0.09
57,-0.021,0.085
56,-0.022,0.085
55,-0.021,0.087
54,-0.02,0.086
53,-0.018,0.074
52,-0.017,0.071
51,-0.017,0.07
50,-0.017,0.067
49,-0.017,0.067
48,-0.015,0.06
47,-0.015,0.063
46,-0.015,0.06
45,-0.017,0.063
44,-0.016,0.056
43,-0.017,0.062
42,-0.016,0.052
41,-0.02,0.059
40,-0.019,0.056
39,-0.02,0.054
38,-0.021,0.054
37,-0.023,0.059
36,-0.024,0.059
35,-0.026,0.056
34,-0.027,0.058
33,-0.024,0.055
32,-0.024,0.053
31,-0.024,0.053
30,-0.023,0.05
29,-0.02,0.044
28,-0.018,0.039
27,-0.018,0.04
26,-0.016,0.036
25,-0.013,0.029
24,-0.014,0.03
23,-0.013,0.028
22,-0.012,0.026
21,-0.01,0.022
20,-0.01,0.023
19,-0.009,0.019
18,-0.015,0.027
17,-0.028,0.043
16,-0.033,0.05
15,-0.03,0.047
14,-0.027,0.041
13,-0.025,0.039
12,-0.023,0.035
11,-0.019,0.029
10,-0.014,0.022
9,-0.012,0.018
8,-0.009,0.014
7,-0.008,0.012
6,-0.039,0.048
5,-0.034,0.042
4,-0.027,0.034
3,-0.015,0.019
2,-0.008,0.01
