Year,Country,AI_Inv_$B,Emp_Rate%
2015,"United States",52.46,65.5
2016,"United States",60.64,65.25
2017,"United States",66.11,64.93
2018,"United States",72.45,64.84
2019,"United States",79.11,64.55
2020,"United States",84.92,63.05
2021,"United States",89.44,64.22
2022,"United States",96,63.94
2023,"United States",104.62,62.05
2024,"United States",111.07,61.31
2025,"United States",117.59,61.93
2015,China,71.55,68.44
2016,China,81.08,68
2017,China,88.08,67.55
2018,China,96.28,66.99
2019,China,106.42,67.3
2020,China,116.69,67.22
2021,China,123.16,66.1
2022,China,130.48,65.62
2023,China,142.7,66.02
2024,China,150.85,65.21
2025,China,159.76,64.51
2015,India,5.4,73
2016,India,7.13,72.6
2017,India,7.73,72.01
2018,India,8.29,72.14
2019,India,12,72.18
2020,India,9.86,70.59
2021,India,10.58,70.22
2022,India,14.33,70.52
2023,India,15.26,70.5
2024,India,12.66,68.98
2025,India,15.87,70.84
2015,Germany,66.89,76.12
2016,Germany,73.23,75.87
2017,Germany,81.69,75.46
2018,Germany,87.55,74.75
2019,Germany,96.84,74.55
2020,Germany,105.77,75.01
2021,Germany,112.85,73.22
2022,Germany,119.3,74.52
2023,Germany,127.26,73.01
2024,Germany,137.67,71.64
2025,Germany,145.56,73.81
2015,Japan,76.35,61.85
2016,Japan,86.7,61.42
2017,Japan,94.99,61.24
2018,Japan,102.73,60.62
2019,Japan,114.9,59.87
2020,Japan,120.91,60.77
2021,Japan,133.93,60.14
2022,Japan,143.17,59.13
2023,Japan,148.69,57.97
2024,Japan,160.06,57.42
2025,Japan,169.68,57.12
2015,"South Korea",63.72,70.72
2016,"South Korea",75.28,70.27
2017,"South Korea",83.25,69.86
2018,"South Korea",90.94,69.92
2019,"South Korea",97.07,69.26
2020,"South Korea",105.88,68.67
2021,"South Korea",112.78,68.81
2022,"South Korea",120.55,68.36
2023,"South Korea",126.96,68.79
2024,"South Korea",136.98,68.41
2025,"South Korea",143,67.21
2015,France,68.7,77.23
2016,France,75.74,76.9
2017,France,83.38,76.77
2018,France,90.25,76.53
2019,France,97.81,75.73
2020,France,106.95,75.33
2021,France,114.34,75.72
2022,France,125.54,74.12
2023,France,132.01,73.79
2024,France,138.94,75.02
2025,France,146.11,74.27
2015,"United Kingdom",21.49,61.6
2016,"United Kingdom",23.01,61.22
2017,"United Kingdom",28.06,60.98
2018,"United Kingdom",29.9,60.32
2019,"United Kingdom",31.16,60.04
2020,"United Kingdom",36.92,60.37
2021,"United Kingdom",36.44,60.17
2022,"United Kingdom",41.53,58.74
2023,"United Kingdom",43.15,59.63
2024,"United Kingdom",47.68,57.91
2025,"United Kingdom",50.34,58.24
2015,Canada,54.16,67.4
2016,Canada,59.15,67.1
2017,Canada,63.88,66.7
2018,Canada,70.35,66.67
2019,Canada,76.23,66.35
2020,Canada,84.38,65.8
2021,Canada,90.1,65.04
2022,Canada,95.85,65.96
2023,Canada,101.64,64.07
2024,Canada,107.62,65.04
2025,Canada,117.16,64.63
2015,Australia,52.78,63.42
2016,Australia,59.74,63.14
2017,Australia,65.15,63.01
2018,Australia,73.51,62.64
2019,Australia,79.01,62
2020,Australia,84.75,61.99
2021,Australia,93.13,62.17
2022,Australia,97.97,61.8
2023,Australia,106.26,61.17
2024,Australia,113.29,61.12
2025,Australia,116.92,60.76
2015,Brazil,77.94,71.14
2016,Brazil,90.17,70.84
2017,Brazil,96.53,70.54
2018,Brazil,109.28,70.33
2019,Brazil,118.99,69.14
2020,Brazil,127.82,69.51
2021,Brazil,135.43,69.86
2022,Brazil,146.9,68.86
2023,Brazil,157.22,67.28
2024,Brazil,165.88,69.18
2025,Brazil,173.86,67.05
2015,Russia,20.54,66.31
2016,Russia,25.46,66.08
2017,Russia,28.23,65.4
2018,Russia,30.87,65.47
2019,Russia,33.61,64.77
2020,Russia,36.79,64.81
2021,Russia,38.61,63.97
2022,Russia,41.85,62.89
2023,Russia,41.74,63.88
2024,Russia,47.13,62.46
2025,Russia,47.89,63.03
