Country,AVG_Reskilling_Programs_Count,AVG_Jobs_Displaced
Italy,59.31,130.57
"United Kingdom",59.42,108.15
Germany,59.28,106.16
"United States",60.14,117.69
Chile,29.16,93.11
Philippines,11.47,112.34
"South Africa",29.13,121.46
India,11.39,108.39
Thailand,28.72,107.29
Malaysia,28.97,97.24
Sweden,58.45,129.30
Spain,59.11,135.35
Egypt,11.60,116.19
Netherlands,59.49,93.56
Colombia,28.66,82.81
Canada,60.07,116.92
Australia,59.86,110.60
Indonesia,11.48,103.88
Singapore,59.08,97.70
China,28.83,102.40
Vietnam,11.55,104.65
Nigeria,11.41,122.23
Japan,59.32,107.57
Brazil,28.75,118.29
"New Zealand",59.45,113.49
Poland,29.09,125.49
Argentina,28.67,96.50
"South Korea",59.73,125.83
France,60.06,128.95
Kenya,11.49,103.92
