Year,AI_Investment_BillionUSD,Previous_Year_Investment,YoY_Change,YoY_Change_Perc,country
2015,52.78,NULL,NULL,NULL,Australia
2016,59.74,52.78,6.96,13.19,Australia
2017,65.15,59.74,5.41,9.06,Australia
2018,73.51,65.15,8.36,12.83,Australia
2019,79.01,73.51,5.5,7.48,Australia
2020,84.75,79.01,5.74,7.26,Australia
2021,93.13,84.75,8.38,9.89,Australia
2022,97.97,93.13,4.84,5.2,Australia
2023,106.26,97.97,8.29,8.46,Australia
2024,113.29,106.26,7.03,6.62,Australia
2025,116.92,113.29,3.63,3.2,Australia
2015,77.94,NULL,NULL,NULL,Brazil
2016,90.17,77.94,12.23,15.69,Brazil
2017,96.53,90.17,6.36,7.05,Brazil
2018,109.28,96.53,12.75,13.21,Brazil
2019,118.99,109.28,9.71,8.89,Brazil
2020,127.82,118.99,8.83,7.42,Brazil
2021,135.43,127.82,7.61,5.95,Brazil
2022,146.9,135.43,11.47,8.47,Brazil
2023,157.22,146.9,10.32,7.03,Brazil
2024,165.88,157.22,8.66,5.51,Brazil
2025,173.86,165.88,7.98,4.81,Brazil
2015,54.16,NULL,NULL,NULL,Canada
2016,59.15,54.16,4.99,9.21,Canada
2017,63.88,59.15,4.73,8,Canada
2018,70.35,63.88,6.47,10.13,Canada
2019,76.23,70.35,5.88,8.36,Canada
2020,84.38,76.23,8.15,10.69,Canada
2021,90.1,84.38,5.72,6.78,Canada
2022,95.85,90.1,5.75,6.38,Canada
2023,101.64,95.85,5.79,6.04,Canada
2024,107.62,101.64,5.98,5.88,Canada
2025,117.16,107.62,9.54,8.86,Canada
2015,71.55,NULL,NULL,NULL,China
2016,81.08,71.55,9.53,13.32,China
2017,88.08,81.08,7,8.63,China
2018,96.28,88.08,8.2,9.31,China
2019,106.42,96.28,10.14,10.53,China
2020,116.69,106.42,10.27,9.65,China
2021,123.16,116.69,6.47,5.54,China
2022,130.48,123.16,7.32,5.94,China
2023,142.7,130.48,12.22,9.37,China
2024,150.85,142.7,8.15,5.71,China
