Country_Rank,country,year,avg_net_wf_change
1,Zambia,2020,-0
2,China,2020,-0.01
2,Germany,2020,-0.01
2,"United Kingdom",2020,-0.01
2,Japan,2020,-0.01
2,France,2020,-0.01
2,India,2020,-0.01
2,Canada,2020,-0.01
2,"South Korea",2020,-0.01
2,Australia,2020,-0.01
2,Brazil,2020,-0.01
2,Italy,2020,-0.01
2,Spain,2020,-0.01
2,Mexico,2020,-0.01
2,Indonesia,2020,-0.01
2,"Saudi Arabia",2020,-0.01
2,Turkey,2020,-0.01
2,Switzerland,2020,-0.01
2,Sweden,2020,-0.01
2,Norway,2020,-0.01
2,Finland,2020,-0.01
2,Belgium,2020,-0.01
2,Austria,2020,-0.01
2,Poland,2020,-0.01
2,Argentina,2020,-0.01
2,Colombia,2020,-0.01
2,Chile,2020,-0.01
2,Peru,2020,-0.01
2,"South Africa",2020,-0.01
2,Nigeria,2020,-0.01
2,Egypt,2020,-0.01
2,Kenya,2020,-0.01
2,Ethiopia,2020,-0.01
2,Ghana,2020,-0.01
2,Morocco,2020,-0.01
2,Tanzania,2020,-0.01
2,Pakistan,2020,-0.01
2,Bangladesh,2020,-0.01
2,Vietnam,2020,-0.01
2,Thailand,2020,-0.01
2,Malaysia,2020,-0.01
2,Philippines,2020,-0.01
2,"New Zealand",2020,-0.01
2,Portugal,2020,-0.01
2,"Czech Republic",2020,-0.01
2,Romania,2020,-0.01
2,Hungary,2020,-0.01
2,Greece,2020,-0.01
2,Ukraine,2020,-0.01
2,UAE,2020,-0.01
2,Qatar,2020,-0.01
2,Kuwait,2020,-0.01
2,Iran,2020,-0.01
2,Iraq,2020,-0.01
2,Kazakhstan,2020,-0.01
2,Uzbekistan,2020,-0.01
2,Russia,2020,-0.01
2,Taiwan,2020,-0.01
2,"Sri Lanka",2020,-0.01
2,Nepal,2020,-0.01
2,Myanmar,2020,-0.01
2,Cambodia,2020,-0.01
2,Ecuador,2020,-0.01
2,Bolivia,2020,-0.01
2,Paraguay,2020,-0.01
2,Uruguay,2020,-0.01
2,"Costa Rica",2020,-0.01
2,Panama,2020,-0.01
2,Guatemala,2020,-0.01
2,Algeria,2020,-0.01
2,Tunisia,2020,-0.01
2,Cameroon,2020,-0.01
2,"Ivory Coast",2020,-0.01
2,Senegal,2020,-0.01
75,"United States",2020,-0.02
75,Netherlands,2020,-0.02
75,Denmark,2020,-0.02
75,Singapore,2020,-0.02
75,Israel,2020,-0.02
75,"Hong Kong",2020,-0.02
1,"United Kingdom",2021,-0.01
1,Japan,2021,-0.01
1,"South Korea",2021,-0.01
1,Brazil,2021,-0.01
1,Italy,2021,-0.01
1,Spain,2021,-0.01
1,Mexico,2021,-0.01
1,Indonesia,2021,-0.01
1,"Saudi Arabia",2021,-0.01
1,Turkey,2021,-0.01
1,Poland,2021,-0.01
1,Argentina,2021,-0.01
1,Colombia,2021,-0.01
1,Chile,2021,-0.01
1,Peru,2021,-0.01
1,"South Africa",2021,-0.01
1,Nigeria,2021,-0.01
1,Egypt,2021,-0.01
1,Kenya,2021,-0.01
1,Ethiopia,2021,-0.01
1,Ghana,2021,-0.01
1,Morocco,2021,-0.01
1,Tanzania,2021,-0.01
1,Pakistan,2021,-0.01
1,Bangladesh,2021,-0.01
1,Vietnam,2021,-0.01
1,Thailand,2021,-0.01
1,Malaysia,2021,-0.01
1,Philippines,2021,-0.01
1,Portugal,2021,-0.01
1,"Czech Republic",2021,-0.01
1,Romania,2021,-0.01
1,Greece,2021,-0.01
1,Ukraine,2021,-0.01
1,Kuwait,2021,-0.01
1,Iran,2021,-0.01
1,Iraq,2021,-0.01
1,Kazakhstan,2021,-0.01
1,Uzbekistan,2021,-0.01
1,Russia,2021,-0.01
1,Taiwan,2021,-0.01
1,"Hong Kong",2021,-0.01
1,"Sri Lanka",2021,-0.01
1,Nepal,2021,-0.01
1,Myanmar,2021,-0.01
1,Cambodia,2021,-0.01
1,Ecuador,2021,-0.01
1,Bolivia,2021,-0.01
1,Paraguay,2021,-0.01
1,Uruguay,2021,-0.01
1,"Costa Rica",2021,-0.01
1,Panama,2021,-0.01
1,Guatemala,2021,-0.01
1,Algeria,2021,-0.01
1,Tunisia,2021,-0.01
1,Cameroon,2021,-0.01
1,"Ivory Coast",2021,-0.01
1,Senegal,2021,-0.01
1,Zambia,2021,-0.01
60,"United States",2021,-0.02
60,China,2021,-0.02
60,Germany,2021,-0.02
60,France,2021,-0.02
60,India,2021,-0.02
60,Canada,2021,-0.02
60,Australia,2021,-0.02
60,Netherlands,2021,-0.02
60,Switzerland,2021,-0.02
60,Sweden,2021,-0.02
60,Norway,2021,-0.02
60,Denmark,2021,-0.02
60,Finland,2021,-0.02
60,Belgium,2021,-0.02
60,Austria,2021,-0.02
60,Singapore,2021,-0.02
60,"New Zealand",2021,-0.02
60,Hungary,2021,-0.02
60,Israel,2021,-0.02
60,UAE,2021,-0.02
60,Qatar,2021,-0.02
1,Spain,2022,-0.01
1,"Saudi Arabia",2022,-0.01
1,Colombia,2022,-0.01
1,Peru,2022,-0.01
1,"South Africa",2022,-0.01
1,Ghana,2022,-0.01
1,Pakistan,2022,-0.01
1,Bangladesh,2022,-0.01
1,Portugal,2022,-0.01
1,"Czech Republic",2022,-0.01
1,Greece,2022,-0.01
1,Kuwait,2022,-0.01
1,Iraq,2022,-0.01
1,Uzbekistan,2022,-0.01
1,Myanmar,2022,-0.01
1,Cambodia,2022,-0.01
1,Ecuador,2022,-0.01
1,Paraguay,2022,-0.01
1,Uruguay,2022,-0.01
1,Guatemala,2022,-0.01
1,Cameroon,2022,-0.01
1,"Ivory Coast",2022,-0.01
1,Senegal,2022,-0.01
1,Zambia,2022,-0.01
25,"United States",2022,-0.02
25,China,2022,-0.02
25,Germany,2022,-0.02
25,"United Kingdom",2022,-0.02
25,Japan,2022,-0.02
25,France,2022,-0.02
25,India,2022,-0.02
25,Canada,2022,-0.02
25,"South Korea",2022,-0.02
25,Australia,2022,-0.02
25,Brazil,2022,-0.02
25,Italy,2022,-0.02
25,Mexico,2022,-0.02
25,Indonesia,2022,-0.02
25,Netherlands,2022,-0.02
25,Turkey,2022,-0.02
25,Switzerland,2022,-0.02
25,Sweden,2022,-0.02
